id,osmId,name,elevation,coordinates
view38,node/440150211,Hexenbänke,,"[11.6140103, 46.5640738]"
view39,node/440776489,Zumis,,"[11.7271699, 46.7752661]"
view40,node/447888706,Kreuzstein - Sasso della Croce,,"[11.2445687, 46.4704072]"
view41,node/454239257,Schwarzer Kopf - Testa Nera,2031,"[11.2020524, 46.3502246]"
view42,node/457107420,Terrazza Panoramica della Grotta,,"[11.1496375, 46.0452498]"
view43,node/457689389,Rotwand - Parete Rossa,1534,"[11.375742, 46.4537521]"
view44,node/469206830,Batteria Mitragliatrici / Maschinengewehr Batterie,,"[11.1853867, 46.0510233]"
view45,node/492588325,Königswarte - Veduta del Re,,"[11.5352218, 46.5478883]"
view46,node/494344568,,1582,"[11.2724171, 46.1063797]"
view47,node/495195842,,1039,"[11.2900401, 45.9762506]"
view48,node/497713908,Matteo Thun'scher Gucker,,"[11.1864426, 46.6589252]"
view49,node/497713918,Skywalk Trauttmansdorff,,"[11.1871728, 46.6610915]"
view50,node/559245410,Busa dei Orsi,,"[11.1025212, 46.0651427]"
view51,node/571829182,Croz Scambion,,"[11.217594, 46.1757296]"
view52,node/623181578,Wilder-Mann-Bühel - Col dell'uomo,643,"[11.2997866, 46.4423181]"
view53,node/630959248,Poppekanzel - Pulpito di Cima Pope,,"[11.6007805, 46.3916166]"
view54,node/639117360,Hundskofel,,"[11.2176924, 46.4162913]"
view55,node/670872776,Belvedere,,"[11.0220116, 45.9413635]"
view56,node/717435655,Kraitsegg,,"[10.95721, 46.6479491]"
view57,node/727634656,Obelisco,,"[11.0849375, 45.7783217]"
view58,node/736875069,Erdpyramiden - Piramidi di sabbia,,"[11.145203, 46.6980102]"
view59,node/736875137,Erdpyramiden - Piramidi di sabbia,,"[11.1453271, 46.6975529]"
view60,node/761573229,Plamortboden - Altopiano Plan dei Morti,,"[10.5276455, 46.8380354]"
view61,node/765752691,Burgstalleck - Castelliere,1019,"[11.2073329, 46.5209235]"
view62,node/765788348,Busa Brodeghera,1990,"[10.8873615, 45.8064678]"
view63,node/802196772,Palon,,"[11.0587172, 46.0269684]"
view64,node/811642920,Lobiser Schupfen,,"[12.0407134, 46.94167]"
view65,node/811716672,Pietersteiner Alm - Malga della Pietra,,"[11.9115849, 46.9084547]"
view66,node/811749538,Schlafhäuser,2010,"[12.0004363, 46.9357132]"
view67,node/835950917,Belvedere Bondai,,"[10.9164815, 46.0778345]"
view68,node/835951002,Belvedere Dolomiti,,"[10.914722, 46.0771047]"
view69,node/858601959,Greiter Ried,,"[11.1353364, 46.6210066]"
view70,node/878327433,Ortlerblick,,"[10.5575466, 46.5815861]"
view71,node/880383557,Ave Cruz,,"[10.8675701, 45.7588876]"
view72,node/883730001,Piz de Corn,1893,"[11.9192958, 46.688573]"
view73,node/910787221,Polsa,,"[11.1942215, 45.9724111]"
view74,node/928020933,Bellavista,,"[11.2336523, 46.1481744]"
view75,node/979735566,Belvedere della Grola,600,"[10.8326, 45.8767962]"
view76,node/990937542,,1006,"[11.1570185, 46.1764049]"
view77,node/1033515294,Sparaverom,,"[11.0454089, 45.9483633]"
view78,node/1080533781,San Colombano,,"[11.0635084, 45.8780478]"
view79,node/1083625992,Piz de Pares,2394,"[11.9702885, 46.6602134]"
view80,node/1126427228,Santner Kanzele,2476,"[11.5729067, 46.5212416]"
view81,node/1192946543,Ibsenplatz,,"[11.4405821, 46.943434]"
view82,node/1226652361,Vista sulla vallagarina da Malga Tof,,"[11.0494183, 45.8442789]"
view83,node/1260053991,Pulpito - Kanzel,,"[11.2940336, 46.3065255]"
view84,node/1269279550,Passo Due Sassi,,"[10.9264924, 45.9259977]"
view85,node/1293772289,Biotopo Taio,,"[11.0828607, 45.9230372]"
view86,node/1293772608,Biotopo Taio - Torretta di Avvistamento,,"[11.0798615, 45.9250281]"
view87,node/1307288287,Dos dei Brusadi,,"[11.1866545, 46.1259025]"
view88,node/1322249560,Wasserfallblick - Vista sulla cascata,,"[12.1083062, 46.8738075]"
view89,node/1339556040,Mountain Cinema Latemar,,"[11.5945238, 46.3967027]"
view90,node/1378963836,Erdpyramiden,,"[12.0184989, 46.8050216]"
view91,node/1387863239,Der Nolp,2233,"[11.1237058, 46.7119473]"
view92,node/1416621614,Vista sul Lago di Garda,,"[10.8875452, 45.810634]"
view93,node/1417877267,Burgblick,,"[11.1511015, 46.6913369]"
view94,node/1419150562,Kleiner Laugen - Piccolo Luco,2297,"[11.096023, 46.537652]"
